2026-01-20 18:22:21,717 | ERROR | __main__ | ❌ Missing model artifacts:
2026-01-20 18:22:21,717 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 18:22:21,717 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 18:22:21,717 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 18:25:09,511 | INFO | __main__ | ========== FINAL MODEL BUILDER SANITY CHECK ==========
2026-01-20 18:25:09,511 | INFO | __main__ | Device ID        : AA:BB:CC:XX:YY:13
2026-01-20 18:25:09,511 | INFO | __main__ | Train Start Time : 2026-01-06T00:00:00.000Z
2026-01-20 18:25:09,511 | INFO | __main__ | Train End Time   : 2026-01-08T00:00:00.000Z
2026-01-20 18:25:09,511 | INFO | __main__ | Model Base Dir   : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models
2026-01-20 18:25:09,514 | INFO | __main__ | =====================================================
2026-01-20 18:26:42,380 | INFO | __main__ | ✔ Training function completed
2026-01-20 18:26:42,383 | INFO | __main__ | MODEL_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 18:26:42,384 | INFO | __main__ | SCALER_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 18:26:42,385 | INFO | __main__ | METADATA_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 18:26:42,387 | ERROR | __main__ | ❌ MODEL FILES MISSING
2026-01-20 18:26:42,388 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 18:26:42,393 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 18:26:42,394 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 18:31:32,704 | INFO | __main__ | ========== FINAL MODEL BUILDER SANITY CHECK ==========
2026-01-20 18:31:32,704 | INFO | __main__ | Device ID        : AA:BB:CC:XX:YY:13
2026-01-20 18:31:32,704 | INFO | __main__ | Train Start Time : 2026-01-06T00:00:00.000Z
2026-01-20 18:31:32,704 | INFO | __main__ | Train End Time   : 2026-01-08T00:00:00.000Z
2026-01-20 18:31:32,704 | INFO | __main__ | Model Base Dir   : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model
2026-01-20 18:31:32,704 | INFO | __main__ | =====================================================
2026-01-20 18:33:00,482 | INFO | __main__ | ✔ Training function completed
2026-01-20 18:33:00,483 | INFO | __main__ | MODEL_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\model.pkl
2026-01-20 18:33:00,484 | INFO | __main__ | SCALER_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\scaler.pkl
2026-01-20 18:33:00,485 | INFO | __main__ | METADATA_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\metadata.json
2026-01-20 18:33:00,485 | ERROR | __main__ | ❌ MODEL FILES MISSING
2026-01-20 18:33:00,485 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\model.pkl
2026-01-20 18:33:00,485 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\scaler.pkl
2026-01-20 18:33:00,488 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\metadata.json
2026-01-20 18:34:29,024 | INFO | __main__ | ========== FINAL MODEL BUILDER SANITY CHECK ==========
2026-01-20 18:34:29,025 | INFO | __main__ | Device ID        : AA:BB:CC:XX:YY:13
2026-01-20 18:34:29,025 | INFO | __main__ | Train Start Time : 2026-01-06T00:00:00.000Z
2026-01-20 18:34:29,025 | INFO | __main__ | Train End Time   : 2026-01-08T00:00:00.000Z
2026-01-20 18:34:29,025 | INFO | __main__ | Model Base Dir   : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model
2026-01-20 18:34:29,026 | INFO | __main__ | =====================================================
2026-01-20 18:35:55,973 | INFO | __main__ | ✔ Training function completed
2026-01-20 18:35:55,973 | INFO | __main__ | MODEL_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\model.pkl
2026-01-20 18:35:55,973 | INFO | __main__ | SCALER_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\scaler.pkl
2026-01-20 18:35:55,973 | INFO | __main__ | METADATA_PATH → C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\metadata.json
2026-01-20 18:35:55,973 | ERROR | __main__ | ❌ MODEL FILES MISSING
2026-01-20 18:35:55,973 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\model.pkl
2026-01-20 18:35:55,979 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\scaler.pkl
2026-01-20 18:35:55,979 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\local_model\23\metadata.json
